Empresa;CNPJ;UF;Situacao;Monitorado
ACRIPEL DISTRIBUIDORA PERNAMBUCO LTDA - BAHIA;24.455.677/0003-44;BA;Ativa;Sim
ACRIPEL DISTRIBUIDORA PERNAMBUCO LTDA - PERNAMBUCO;24.455.677/0001-82;PE;Ativa;Sim
ACS DISTRIBUIDORA, IMPORTADORA E EXPORTADORA EIRELI;21.519.719/0001-03;SC;Ativa;Sim
ACSO - CENTRAL DE SERVICO DO ACO LTDA;13.692.691/0001-83;PR;Ativa;Sim
ACT CONSULTORIA EM TECNOLOGIA LTDA;57.655.334/0001-10;SP;Ativa;Sim
ACT IMPORTACAO E EXPORTACAO LTDA;31.110.755/0001-72;SC;Ativa;Sim
ACT MED COMERCIO IMPORTACAO DE MATERIAL MEDICO LTDA- ME;18.040.837/0001-20;PE;Ativa;Sim
ACTAR CONNECTIVITY ENGENHARIA DE TELECOMUNICACOES LTDA;00.085.885/0001-79;MG;Ativa;Sim
ACTAR CONSULTING SERVICOS EM TIC LTDA;04.975.805/0001-01;MG;Ativa;Sim
ACTION  S/A;81.071.250/0001-14;PR;Ativa;Sim
ACTION AGENCIAMENTO DE CARGAS LTDA.;07.433.647/0001-56;MG;Ativa;Sim
ACTION COMERCIO DE VEICULOS E PECAS LTDA;27.596.439/0001-85;SP;Ativa;Sim
ACTION LINE TELEMARKETING DO BRASIL S.A.;02.379.828/0001-28;SP;Ativa;Sim
ACTION MEDICAL COMERCIO DE PRODUTOS HOSPITALARES LTDA;07.443.999/0001-92;SP;Ativa;Sim
ACTION TECHNOLOGY INDUSTRIA E COMERCIO DE ELETROELETRONICOS LTDA;03.801.629/0001-29;SP;Ativa;Sim
ACTIVAS PLASTICOS INDUSTRIAIS LTDA;00.827.591/0001-75;SP;Ativa;Sim
ACTIVE ENGENHARIA LTDA;68.287.143/0001-60;SP;Ativa;Sim
ACTUA TRADE LTDA;07.517.001/0001-57;SP;Ativa;Sim
ACUCAR E ALCOOL OSWALDO RIBEIRO DE MENDONCA LTDA;51.990.778/0003-98;SP;Ativa;Sim
ACUCAREIRA BOA VISTA LTDA;54.521.703/0001-94;SP;Ativa;Sim
ACUCAREIRA ENERGY LTDA;12.662.352/0001-91;PR;Ativa;Sim
ACUCAREIRA QUATA S/A;60.855.574/0001-73;SP;Ativa;Sim
ACUMULADORES MOURA S A;09.811.654/0001-70;PE;Ativa;Sim
ACURATE INDUSTRIA E COMERCIO LTDA;17.366.976/0004-28;MG;Ativa;Sim
ACV TECLINE ENGENHARIA LTDA;01.448.758/0001-50;PR;Ativa;Sim
ACX SERVICOS DE GESTAO EM TECNOLOGIA DA INFORMACAO LTDA;12.415.613/0001-79;PR;Ativa;Sim
